20
22
15
3
0
4
178,178,178,178,178,178,178,178,178,179,164,164,177,178,178,178,178,178,178,178,
246,247,178,178,178,178,178,178,165,179,164,164,177,178,178,178,178,178,246,247,
178,178,246,247,178,178,178,178,178,179,164,164,177,246,247,165,246,247,178,178,
246,247,180,194,194,194,194,194,194,195,164,164,177,178,178,178,178,178,246,247,
178,178,179,164,164,164,164,164,164,164,164,164,177,178,178,178,178,178,178,178,
246,247,179,164,164,164,164,164,164,164,164,164,177,178,178,246,247,178,246,247,
178,178,179,164,164,161,162,162,162,162,162,162,197,246,247,178,178,178,178,178,
246,247,179,164,164,177,178,178,178,178,149,178,178,178,178,178,178,178,246,247,
178,178,179,164,164,177,178,178,178,149,149,149,178,178,178,178,165,178,178,178,
246,247,179,164,164,177,178,165,178,178,149,178,178,178,178,178,178,178,246,247,
178,178,179,164,164,177,178,178,246,247,178,178,178,178,178,178,178,178,178,178,
246,247,179,164,164,193,194,194,194,194,194,194,194,194,194,194,194,181,246,247,
178,178,179,164,164,164,164,164,164,164,164,164,164,164,164,164,164,177,178,178,
246,247,179,164,164,164,164,164,164,164,164,164,164,164,164,164,164,177,246,247,
178,178,196,162,162,162,162,162,162,162,162,162,162,162,163,164,164,177,178,178,
246,247,178,178,178,178,178,178,178,178,178,178,165,178,179,164,164,177,246,247,
178,178,246,247,178,178,178,178,178,178,178,178,178,178,179,164,164,177,178,178,
246,247,178,178,178,178,178,178,178,178,178,178,178,178,179,164,164,177,246,247,
178,178,246,247,178,178,246,247,178,178,246,247,149,178,179,164,164,177,178,178,
246,247,178,178,246,247,178,178,246,247,178,178,178,178,179,164,164,177,246,247,
178,178,178,178,178,178,178,178,178,178,178,178,178,178,196,162,162,197,178,178,
246,247,246,247,246,247,246,247,246,247,246,247,246,247,246,247,246,247,246,247
230,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,231,
0,0,230,231,0,0,0,0,0,0,95,95,0,230,231,0,230,231,0,0,
230,231,0,0,0,166,167,0,e11,0,0,0,0,0,0,0,0,0,230,231,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230,231,0,0,0,0,0,0,0,0,0,0,0,0,0,230,231,e11,230,231,
0,0,0,0,0,0,0,0,0,0,0,0,0,230,231,0,0,0,0,0,
230,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,231,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,e11,0,0,0,0,0,
230,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,231,
0,0,0,e11,e11,0,0,0,230,231,0,0,0,0,0,0,0,0,0,0,
230,231,0,0,0,0,0,153,0,0,0,0,e11,0,166,167,0,0,230,231,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,231,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,231,
0,0,230,231,0,0,166,167,0,0,e11,0,0,0,0,0,0,0,0,0,
230,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,231,
0,0,230,231,0,0,230,231,0,0,230,231,0,0,0,0,0,0,0,0,
230,231,0,0,230,231,0,0,230,231,0,0,0,0,0,0,0,0,230,231,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230,231,230,231,230,231,230,231,230,231,230,231,230,231,230,231,230,231,230,231,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1
0,0,214,215,0,0,0,0,0,0,0,0,0,214,215,0,214,215,0,0,
214,215,0,0,0,150,151,0,0,0,0,0,0,0,0,0,0,0,214,215,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
214,215,0,0,0,0,0,0,0,0,0,0,0,0,0,214,215,0,214,215,
0,0,0,0,0,0,0,0,0,0,0,0,0,214,215,0,0,0,0,0,
214,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,215,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
214,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,215,
0,0,0,0,0,0,0,0,214,215,0,0,0,0,0,0,0,0,0,0,
214,215,0,0,0,0,0,0,0,0,0,0,0,0,150,151,0,0,214,215,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
214,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,215,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
214,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,215,
0,0,214,215,0,0,150,151,0,0,0,0,0,0,0,0,0,0,0,0,
214,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,215,
0,0,214,215,0,0,214,215,0,0,214,215,0,0,0,0,0,0,0,0,
214,215,0,0,214,215,0,0,214,215,0,0,0,0,0,0,0,0,214,215,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
214,215,214,215,214,215,214,215,214,215,214,215,214,215,214,215,214,215,214,215,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
