22
18
10
1
0
4
247,178,178,178,178,178,178,246,247,178,178,178,178,246,247,178,178,178,178,178,178,246,
178,246,247,178,178,246,247,178,246,247,178,178,246,247,178,246,247,178,178,246,247,178,
247,178,178,178,178,178,178,246,247,178,178,178,178,246,247,178,178,178,178,178,178,246,
178,246,247,178,178,246,247,178,246,247,178,178,246,247,178,246,247,178,178,246,247,178,
247,178,178,178,178,178,178,246,247,178,178,178,178,246,247,178,178,178,178,178,178,246,
178,246,247,178,178,246,247,178,246,247,178,178,246,247,178,246,247,178,178,246,247,178,
247,178,178,178,178,178,178,246,247,178,178,178,178,246,247,178,178,178,178,178,178,246,
178,246,247,178,178,246,247,178,246,247,178,178,246,247,178,246,247,178,178,246,247,178,
247,178,178,178,178,178,178,246,247,178,178,178,178,246,247,178,178,178,178,178,178,246,
178,246,247,178,178,246,247,149,246,247,178,178,246,247,149,246,247,178,178,246,247,178,
178,178,180,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,181,178,178,
246,247,179,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,177,246,247,
178,178,179,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,177,178,178,
246,247,196,162,162,162,162,162,162,163,164,164,161,162,162,162,162,162,162,197,246,247,
178,178,178,178,178,178,178,178,149,179,164,164,177,149,178,178,178,178,178,178,178,178,
246,247,178,178,178,178,178,178,149,179,164,164,177,149,178,178,178,178,178,178,246,247,
178,178,178,178,178,178,178,178,149,179,164,164,177,149,178,178,178,178,178,178,178,178,
246,247,178,178,246,247,178,178,149,179,164,164,177,149,178,178,246,247,178,178,246,247
0,230,231,0,0,230,231,0,230,231,0,0,230,231,0,230,231,0,0,230,231,0,
231,0,0,176,176,0,0,230,231,0,176,176,0,230,231,0,0,95,95,0,0,230,
0,230,231,0,0,230,231,0,230,231,0,0,230,231,0,230,231,0,0,230,231,0,
231,0,0,0,0,0,0,230,231,0,0,0,0,230,231,0,0,0,0,0,0,230,
0,230,231,e11,e11,230,231,0,230,231,e11,e11,230,231,0,230,231,e11,e11,230,231,0,
231,0,0,0,0,0,0,230,231,0,0,0,0,230,231,0,0,0,0,0,0,230,
0,230,231,e11,e11,230,231,0,230,231,e11,e11,230,231,0,230,231,e11,e11,230,231,0,
231,0,0,0,0,0,0,230,231,0,0,0,0,230,231,0,0,0,0,0,0,230,
0,230,231,e11,e11,230,231,0,230,231,e11,e11,230,231,0,230,231,e11,e11,230,231,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,231,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,231,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230,231,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,230,231,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230,231,0,0,230,231,0,0,0,0,0,0,0,0,0,0,230,231,0,0,230,231,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1
215,0,0,0,0,0,0,214,215,0,0,0,0,214,215,0,0,0,0,0,0,214,
0,214,215,0,0,214,215,0,214,215,0,0,214,215,0,214,215,0,0,214,215,0,
215,0,0,0,0,0,0,214,215,0,0,0,0,214,215,0,0,0,0,0,0,214,
0,214,215,0,0,214,215,0,214,215,0,0,214,215,0,214,215,0,0,214,215,0,
215,0,0,0,0,0,0,214,215,0,0,0,0,214,215,0,0,0,0,0,0,214,
0,214,215,0,0,214,215,0,214,215,0,0,214,215,0,214,215,0,0,214,215,0,
215,0,0,0,0,0,0,214,215,0,0,0,0,214,215,0,0,0,0,0,0,214,
0,214,215,0,0,214,215,0,214,215,0,0,214,215,0,214,215,0,0,214,215,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
214,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,215,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
214,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,215,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
214,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,215,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
214,215,0,0,214,215,0,0,0,0,0,0,0,0,0,0,214,215,0,0,214,215,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
