21
30
10
1
0
3
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,
18,18,18,18,9,18,18,9,18,18,18,18,18,9,18,18,9,18,18,18,18,
18,18,18,18,18,25,25,18,18,4,34,5,18,18,25,25,18,18,18,18,18,
154,155,156,18,9,18,18,9,18,19,36,17,18,9,18,18,9,18,154,155,156,
18,18,18,18,18,18,18,18,18,19,36,17,18,18,18,18,18,18,18,18,18,
104,104,104,104,104,104,104,104,104,104,110,104,104,104,104,104,104,104,104,104,104,
18,18,18,18,18,18,18,18,18,19,36,17,18,18,18,18,18,18,18,18,18,
18,18,18,18,9,18,18,9,18,19,36,17,18,9,18,18,9,18,18,18,18,
154,155,156,18,18,18,18,18,18,19,36,17,18,18,18,18,18,18,154,155,156,
18,18,18,18,18,25,25,18,4,35,36,33,5,18,25,25,18,18,18,18,18,
18,18,18,18,18,18,18,18,19,36,36,36,17,18,18,18,18,18,18,18,18,
154,155,156,18,9,18,18,9,19,36,36,36,17,9,18,18,9,18,154,155,156,
18,18,18,18,18,18,18,18,19,36,36,36,17,18,18,18,18,18,18,18,18,
104,104,104,104,104,104,104,104,104,109,110,110,104,104,104,104,104,104,104,104,104,
18,18,18,18,18,18,18,18,19,36,36,36,17,18,18,18,18,18,18,18,18,
18,18,18,18,9,18,18,9,19,36,36,36,17,9,18,18,9,18,18,18,18,
154,155,156,18,18,18,18,18,19,36,36,36,17,18,18,18,18,18,154,155,156,
18,18,18,18,18,25,25,18,19,36,36,36,17,18,25,25,18,18,18,18,18,
18,18,18,18,18,18,18,18,19,36,36,36,17,18,18,18,18,18,18,18,18,
154,155,156,18,9,18,18,9,19,36,36,36,17,9,18,18,9,18,154,155,156,
18,18,18,18,18,18,18,18,19,36,36,36,17,18,18,18,18,18,18,18,18,
104,104,104,104,104,104,104,104,104,109,110,110,104,104,104,104,104,104,104,104,104,
18,18,18,18,18,18,18,18,19,36,36,36,17,18,18,18,18,18,18,18,18,
154,155,156,18,9,18,18,9,19,36,36,36,17,9,18,18,9,18,154,155,156,
18,18,18,18,18,18,18,18,19,36,36,36,17,18,18,18,18,18,18,18,18,
18,18,18,18,18,25,25,18,19,36,36,36,17,18,25,25,18,18,18,18,18,
154,155,156,18,18,25,25,18,19,36,36,36,17,18,25,25,18,18,154,155,156,
18,18,18,18,18,18,18,18,19,36,36,36,17,18,18,18,18,18,18,18,18,
18,18,18,18,9,18,18,9,19,36,36,36,17,9,18,18,9,18,18,18,18,
154,155,156,18,18,18,18,18,19,36,36,36,17,18,18,18,18,18,154,155,156
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,
0,0,0,0,0,0,0,0,0,43,95,43,0,0,0,0,0,0,0,0,0,
38,39,40,0,0,0,0,0,43,0,e5,0,43,0,0,0,0,0,38,39,40,
0,0,0,0,0,0,0,0,43,0,0,0,43,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,37,37,37,37,37,37,37,37,37,0,37,37,37,37,37,37,37,37,37,37,
0,0,0,0,0,0,0,0,0,0,e4,0,0,0,0,0,0,0,0,0,0,
38,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,40,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,40,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,e4,e4,e4,0,0,0,0,0,0,0,0,0,
37,37,37,37,37,37,37,37,37,0,0,0,37,37,37,37,37,37,37,37,37,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,40,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,40,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,e4,e4,e4,0,0,0,0,0,0,0,0,0,
37,37,37,37,37,37,37,37,37,0,0,0,37,37,37,37,37,37,37,37,37,
38,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,40,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,40,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,40,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1
6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,
22,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,24,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,
22,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,24,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,
22,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,24,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,
22,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,24,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,
22,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,24,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,
22,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,24,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,
22,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,24,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,
22,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,24,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
