24
20
1
2
0
0
36,36,36,36,36,36,36,36,36,36,36,1,3,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,1,21,20,3,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,1,21,18,18,20,3,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,1,21,18,18,18,18,20,3,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,1,21,18,18,18,18,18,18,20,3,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,17,18,18,18,18,18,18,18,18,19,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,33,5,18,18,18,18,18,18,4,35,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,33,5,18,18,18,18,4,35,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,33,5,18,18,4,35,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,33,5,4,35,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,17,19,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,17,19,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,17,19,36,36,36,36,36,36,36,36,36,36,36,
2,2,3,36,36,36,36,36,36,36,36,17,19,36,36,36,36,36,36,36,36,1,2,2,
18,18,20,2,2,2,2,3,36,36,36,17,19,36,36,36,1,2,2,2,2,21,18,18,
81,82,81,82,81,82,81,82,2,2,2,21,20,2,2,2,21,18,18,18,81,82,81,82,
34,34,34,34,34,34,34,34,34,34,34,34,34,5,81,82,81,82,81,82,18,18,18,18,
36,36,36,36,36,36,36,36,36,36,36,36,36,17,18,18,18,18,18,18,18,18,81,82,
36,36,36,36,36,36,36,36,36,36,36,36,36,17,18,18,18,18,18,18,18,18,18,18,
2,2,2,2,2,2,2,2,2,2,2,2,2,21,18,18,18,18,18,18,18,18,81,82
192,192,192,192,192,192,192,192,192,192,192,0,0,192,192,192,192,192,192,192,192,192,192,192,
192,192,192,192,192,192,192,192,192,192,0,95,95,0,192,192,192,192,192,192,192,192,192,192,
192,192,192,192,192,192,192,192,192,0,0,e3,e3,0,0,192,192,192,192,192,192,192,192,192,
192,192,192,192,192,192,192,192,144,144,144,128,128,160,160,0,192,192,192,192,192,192,192,192,
192,192,192,192,192,192,192,0,128,0,0,0,0,0,128,0,0,192,192,192,192,192,192,192,
192,192,192,192,192,192,192,0,e3,160,0,0,e3,0,128,0,0,192,192,192,192,192,192,192,
192,192,192,192,192,192,192,0,0,128,160,160,80,144,80,e3,0,192,192,192,192,192,192,192,
192,192,192,192,192,192,192,192,176,80,160,160,128,128,63,0,192,192,192,192,192,192,192,192,
192,192,192,192,192,192,192,192,192,0,0,128,128,128,0,192,192,192,192,192,192,192,192,192,
192,192,192,192,192,192,192,192,192,192,0,128,80,128,192,192,192,192,192,192,192,192,192,192,
192,192,192,192,192,192,192,192,192,192,192,e3,e3,192,192,192,192,192,192,192,192,192,192,192,
192,192,192,192,192,192,192,192,192,192,192,0,0,192,192,192,192,192,192,192,192,192,192,192,
192,192,192,192,192,192,192,192,192,192,192,0,0,192,192,192,192,192,192,192,192,192,192,192,
0,0,0,192,192,192,192,192,192,192,192,0,0,192,192,192,192,192,192,192,192,0,0,0,
65,66,65,66,65,66,65,66,192,192,192,e3,e3,192,192,192,0,0,0,0,65,66,65,66,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,66,65,66,65,66,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,63,0,65,66,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,144,144,144,144,144,80,e3,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,176,0,65,66,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,66,65,66,65,66,0,0,0,0
1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
