15
13
7
4
0
0
18,18,18,18,18,18,19,36,17,18,18,18,18,18,18,
18,18,18,18,18,18,19,36,17,18,18,18,18,18,18,
81,82,81,82,81,82,19,36,17,81,82,81,82,81,82,
18,18,18,18,4,34,35,36,33,34,5,18,18,18,18,
81,82,81,82,19,36,36,36,36,36,17,81,82,81,82,
18,18,18,18,19,36,36,36,36,36,17,18,18,18,18,
81,82,81,82,20,2,2,2,2,2,21,81,82,81,82,
18,18,18,18,18,18,9,18,18,25,18,18,18,18,18,
81,82,81,82,18,18,18,18,18,18,18,81,82,81,82,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,
81,82,81,82,18,18,18,18,9,18,18,81,82,81,82,
18,18,18,18,18,25,18,18,18,18,18,18,18,18,18,
81,82,81,82,18,18,18,18,18,18,18,81,82,81,82
0,0,0,0,0,0,118,0,116,0,0,0,0,0,0,
65,66,65,66,65,66,118,95,116,65,66,65,66,65,66,
101,101,101,101,101,101,134,e2,132,101,101,101,101,101,101,
65,66,65,66,0,0,0,0,0,0,0,65,66,65,66,
0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,
65,66,65,66,0,0,0,0,0,0,0,65,66,65,66,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,66,65,66,0,0,0,0,0,0,0,65,66,65,66,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,66,65,66,0,42,0,0,0,0,0,65,66,65,66,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,66,65,66,0,0,0,0,0,0,0,65,66,65,66,
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
1
49,50,49,50,49,50,0,0,0,49,50,49,50,49,50,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,50,49,50,0,0,0,0,0,0,0,49,50,49,50,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,50,49,50,0,0,0,0,0,0,0,49,50,49,50,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,50,49,50,0,0,0,0,0,0,0,49,50,49,50,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,50,49,50,0,0,0,0,0,0,0,49,50,49,50,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,50,49,50,0,0,0,0,0,0,0,49,50,49,50,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
