18
26
8
1
0
1
18,18,18,18,18,18,18,19,36,36,17,18,18,18,18,18,18,18,
18,18,18,18,18,25,9,19,36,36,17,9,25,18,18,18,18,18,
81,82,18,18,18,18,18,19,36,36,17,18,18,18,18,18,81,82,
18,18,81,82,18,18,18,19,36,36,17,18,18,18,81,82,18,18,
81,82,18,18,18,18,18,19,36,36,17,18,18,18,18,18,81,82,
104,104,104,104,104,104,104,104,109,110,104,104,104,104,104,104,104,104,
104,104,104,104,104,104,104,104,109,110,104,104,104,104,104,104,104,104,
18,18,18,18,18,9,18,19,36,36,17,18,9,18,18,18,18,18,
18,18,4,34,34,34,34,35,36,36,33,34,34,34,34,5,18,18,
81,82,19,36,36,36,36,36,36,36,36,36,36,36,36,17,81,82,
18,18,19,36,36,36,36,36,36,36,36,36,36,36,36,17,18,18,
81,82,19,36,36,1,2,2,2,2,2,2,3,36,36,17,81,82,
104,104,104,109,110,104,104,104,104,104,104,104,104,109,110,104,104,104,
104,104,104,109,110,104,104,104,104,104,104,104,104,109,110,104,104,104,
18,18,19,36,36,33,34,34,34,34,34,34,35,36,36,17,18,18,
18,18,19,36,36,36,36,36,36,36,36,36,36,36,36,17,18,18,
81,82,19,36,36,36,36,36,36,36,36,36,36,36,36,17,81,82,
18,18,103,104,104,104,104,104,109,110,104,104,104,104,104,105,18,18,
18,18,119,18,18,18,25,19,36,36,17,25,18,18,18,121,18,18,
81,82,119,18,18,18,18,19,36,36,17,18,18,18,18,121,81,82,
18,18,119,81,82,103,104,104,109,110,104,104,105,81,82,121,18,18,
81,82,119,18,18,119,18,19,36,36,17,18,121,18,18,121,81,82,
18,18,119,81,82,119,18,19,36,36,17,18,121,81,82,121,18,18,
81,82,119,18,18,119,18,19,36,36,17,18,121,18,18,121,81,82,
18,18,119,81,82,119,18,19,36,36,17,18,121,81,82,121,18,18,
81,82,119,18,18,119,18,19,36,36,17,18,121,18,18,121,81,82
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,66,0,0,0,0,0,0,95,95,0,0,0,0,0,0,65,66,
0,0,65,66,0,0,0,0,0,0,0,0,0,0,65,66,0,0,
65,66,0,0,31,32,0,0,0,0,0,0,28,29,30,0,65,66,
101,101,101,101,101,101,101,117,e3,e2,133,101,101,101,101,101,101,101,
37,37,37,37,37,37,37,37,0,0,37,37,37,37,37,37,37,37,
37,37,37,37,37,37,37,37,0,0,37,37,37,37,37,37,37,37,
0,0,0,0,0,0,0,0,128,128,0,0,0,0,0,0,0,0,
65,66,0,144,144,144,144,144,e3,e2,160,160,160,160,160,0,65,66,
